,age,class_of_worker,education,marital_stat,major_occupation_code,race,sex,dividends_from_stocks,tax_filer_stat,region_of_previous_residence,detailed_household_summary_in_household,num_persons_worked_for_employer,country_of_birth_self,citizenship,own_business_or_self_employed,weeks_worked_in_year,target
1936,16, Never worked, 9th grade, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, Poland, Foreign born- Not a citizen of U S ,0,0, - 50000.
1937,43, Not in universe, Some college but no degree, Married-civilian spouse present, Not in universe, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
1938,2, Not in universe, Children, Never married, Not in universe, Amer Indian Aleut or Eskimo, Male,0, Nonfiler, Not in universe, Other relative of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
1939,3, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Other relative of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
1940,47, Private, High school graduate, Married-civilian spouse present, Transportation and material moving, White, Male,0, Joint both under 65, Not in universe, Householder,4, United-States, Native- Born in the United States,0,52, - 50000.
1941,21, Private, 10th grade, Never married, Machine operators assmblrs & inspctrs, Black, Female,0, Nonfiler, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
1942,46, Federal government, High school graduate, Married-civilian spouse present, Adm support including clerical, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,6, United-States, Native- Born in the United States,0,50, - 50000.
1943,3, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
1944,25, Private, High school graduate, Never married, Sales, Black, Female,0, Head of household, Not in universe, Householder,3, United-States, Native- Born in the United States,0,25, - 50000.
1945,38, Local government, Some college but no degree, Married-spouse absent, Executive admin and managerial, Black, Female,0, Head of household, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
1946,24, Not in universe, 10th grade, Never married, Not in universe, Black, Male,0, Nonfiler, Not in universe, Child 18 or older,0, United-States, Native- Born in the United States,0,0, - 50000.
1947,64, Self-employed-not incorporated, Some college but no degree, Married-civilian spouse present, Sales, White, Male,0, Joint both under 65, Not in universe, Householder,1, United-States, Native- Born in the United States,0,52, 50000+.
1948,1, Not in universe, Children, Never married, Not in universe, Asian or Pacific Islander, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
1949,2, Not in universe, Children, Never married, Not in universe, Black, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
1950,57, Private, Bachelors degree(BA AB BS), Married-civilian spouse present, Technicians and related support, White, Female,0, Joint one under 65 & one 65+, Not in universe, Spouse of householder,5, ?, Foreign born- U S citizen by naturalization,0,52, - 50000.
1951,6, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
1952,9, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Other relative of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
1953,9, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
1954,65, Not in universe, High school graduate, Married-civilian spouse present, Not in universe, White, Female,0, Joint one under 65 & one 65+, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
1955,55, Not in universe, Bachelors degree(BA AB BS), Never married, Not in universe, White, Female,0, Single, Not in universe, Nonrelative of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
1956,71, Self-employed-incorporated, High school graduate, Married-civilian spouse present, Adm support including clerical, White, Female,0, Joint both 65+, Not in universe, Householder,1, United-States, Native- Born in the United States,0,52, - 50000.
1957,28, Local government, Bachelors degree(BA AB BS), Never married, Professional specialty, White, Female,0, Single, Not in universe, Householder,6, United-States, Native- Born in the United States,2,52, - 50000.
1958,44, Private, Associates degree-occup /vocational, Married-civilian spouse present, Technicians and related support, White, Male,0, Joint both under 65, Not in universe, Householder,3, United-States, Native- Born in the United States,2,50, - 50000.
1959,32, Private, High school graduate, Never married, Adm support including clerical, White, Male,0, Single, Not in universe, Householder,3, United-States, Native- Born in the United States,0,52, - 50000.
1960,11, Not in universe, Children, Never married, Not in universe, Amer Indian Aleut or Eskimo, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
1961,51, Private, High school graduate, Married-civilian spouse present, Machine operators assmblrs & inspctrs, White, Male,40, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
1962,0, Not in universe, Children, Never married, Not in universe, Black, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
1963,3, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Other relative of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
1964,35, Private, High school graduate, Never married, Adm support including clerical, White, Female,0, Single, Not in universe, Nonrelative of householder,6, United-States, Native- Born in the United States,0,52, - 50000.
1965,32, Private, High school graduate, Divorced, Machine operators assmblrs & inspctrs, Other, Female,0, Head of household, Not in universe, Householder,6, Guatemala, Foreign born- Not a citizen of U S ,0,52, - 50000.
1966,21, Not in universe, Some college but no degree, Married-civilian spouse present, Not in universe, Asian or Pacific Islander, Female,0, Joint both under 65, Not in universe, Householder,0, ?, Native- Born abroad of American Parent(s),0,0, - 50000.
1967,22, Private, High school graduate, Never married, Other service, Black, Male,0, Nonfiler, South, Child 18 or older,6, United-States, Native- Born in the United States,0,7, - 50000.
1968,10, Not in universe, Children, Never married, Not in universe, Black, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
1969,56, Not in universe, High school graduate, Widowed, Not in universe, White, Female,0, Single, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
1970,28, Not in universe, High school graduate, Married-civilian spouse present, Not in universe, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,2, United-States, Native- Born in the United States,0,22, - 50000.
1971,69, Not in universe, 10th grade, Divorced, Not in universe, White, Female,0, Nonfiler, Not in universe, Other relative of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
1972,15, Not in universe, 7th and 8th grade, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
1973,39, Private, High school graduate, Married-civilian spouse present, Machine operators assmblrs & inspctrs, White, Male,100, Joint both under 65, Not in universe, Householder,4, United-States, Native- Born in the United States,2,51, - 50000.
1974,76, Not in universe, 7th and 8th grade, Married-civilian spouse present, Not in universe, White, Female,0, Joint both 65+, Not in universe, Spouse of householder,0, Mexico, Foreign born- U S citizen by naturalization,0,0, - 50000.
1975,3, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
1976,33, Not in universe, High school graduate, Married-civilian spouse present, Not in universe, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,1, United-States, Native- Born in the United States,0,26, - 50000.
1977,26, Local government, 11th grade, Married-civilian spouse present, Handlers equip cleaners etc , White, Male,29, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
1978,41, Private, Some college but no degree, Divorced, Machine operators assmblrs & inspctrs, White, Male,0, Single, Not in universe, Householder,6, United-States, Native- Born in the United States,2,52, - 50000.
1979,8, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, Mexico, Foreign born- Not a citizen of U S ,0,0, - 50000.
1980,50, Private, Masters degree(MA MS MEng MEd MSW MBA), Never married, Executive admin and managerial, White, Female,0, Head of household, Not in universe, Householder,6, ?, Foreign born- U S citizen by naturalization,0,52, - 50000.
1981,7, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
1982,15, Not in universe, 7th and 8th grade, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
1983,62, Private, 7th and 8th grade, Married-civilian spouse present, Transportation and material moving, White, Male,0, Joint both under 65, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
1984,39, Private, High school graduate, Married-civilian spouse present, Other service, Black, Female,0, Joint both under 65, Not in universe, Spouse of householder,6, ?, Foreign born- Not a citizen of U S ,0,52, - 50000.
1985,27, Private, Some college but no degree, Never married, Sales, White, Male,275, Single, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
1986,51, Private, High school graduate, Married-civilian spouse present, Precision production craft & repair, White, Male,0, Joint both under 65, Not in universe, Householder,5, United-States, Native- Born in the United States,0,52, - 50000.
1987,35, Private, High school graduate, Divorced, Other service, White, Female,0, Head of household, Northeast, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
1988,22, Private, 5th or 6th grade, Never married, Machine operators assmblrs & inspctrs, White, Male,0, Single, Not in universe, Householder,2, Mexico, Foreign born- Not a citizen of U S ,0,52, - 50000.
1989,1, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
1990,49, Private, Masters degree(MA MS MEng MEd MSW MBA), Married-spouse absent, Professional specialty, White, Male,0, Single, West, Householder,1, United-States, Native- Born in the United States,2,48, - 50000.
1991,64, Not in universe, High school graduate, Married-civilian spouse present, Not in universe, White, Male,0, Joint both under 65, Not in universe, Spouse of householder,1, ?, Foreign born- Not a citizen of U S ,0,16, - 50000.
1992,67, Not in universe, Associates degree-occup /vocational, Married-civilian spouse present, Not in universe, White, Female,0, Nonfiler, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
1993,23, Private, Some college but no degree, Married-civilian spouse present, Other service, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
1994,29, State government, High school graduate, Never married, Adm support including clerical, White, Female,0, Head of household, Not in universe, Householder,1, United-States, Native- Born in the United States,0,35, - 50000.
1995,32, Local government, Associates degree-occup /vocational, Married-civilian spouse present, Executive admin and managerial, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,5, United-States, Native- Born in the United States,1,52, - 50000.
1996,4, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
1997,81, Self-employed-not incorporated, Doctorate degree(PhD EdD), Married-civilian spouse present, Professional specialty, White, Male,0, Joint both 65+, Not in universe, Householder,1, United-States, Native- Born in the United States,0,52, - 50000.
1998,58, Private, Some college but no degree, Married-civilian spouse present, Sales, White, Male,100, Joint both under 65, Not in universe, Spouse of householder,2, United-States, Native- Born in the United States,0,52, - 50000.
1999,53, Local government, High school graduate, Married-civilian spouse present, Other service, White, Female,150, Joint both under 65, Not in universe, Spouse of householder,1, United-States, Native- Born in the United States,0,52, - 50000.
2000,40, Private, Masters degree(MA MS MEng MEd MSW MBA), Never married, Sales, White, Male,0, Single, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, 50000+.
2001,9, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2002,16, Not in universe, 12th grade no diploma, Never married, Not in universe, Black, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2003,75, Not in universe, 5th or 6th grade, Widowed, Not in universe, Black, Male,0, Nonfiler, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
2004,80, Not in universe, High school graduate, Divorced, Not in universe, White, Female,0, Nonfiler, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
2005,9, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2006,30, Private, Bachelors degree(BA AB BS), Divorced, Other service, White, Male,0, Single, Northeast, Nonrelative of householder,3, United-States, Native- Born in the United States,2,30, - 50000.
2007,43, Not in universe, Some college but no degree, Separated, Not in universe, White, Female,0, Nonfiler, Not in universe, Householder,0, Mexico, Foreign born- U S citizen by naturalization,0,0, - 50000.
2008,25, Private, High school graduate, Married-civilian spouse present, Handlers equip cleaners etc , White, Male,0, Joint both under 65, Not in universe, Householder,2, United-States, Native- Born in the United States,0,52, - 50000.
2009,15, Not in universe, 7th and 8th grade, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Other relative of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
2010,15, Not in universe, 7th and 8th grade, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2011,74, Not in universe, High school graduate, Widowed, Not in universe, White, Female,4000, Single, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
2012,58, Self-employed-incorporated, Bachelors degree(BA AB BS), Married-civilian spouse present, Adm support including clerical, White, Female,100, Joint both under 65, Not in universe, Spouse of householder,3, United-States, Native- Born in the United States,0,52, - 50000.
2013,9, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2014,17, Private, 9th grade, Never married, Handlers equip cleaners etc , White, Male,1, Nonfiler, Not in universe, Child under 18 never married,6, United-States, Native- Born in the United States,0,8, - 50000.
2015,90, Not in universe, 9th grade, Widowed, Not in universe, White, Male,0, Nonfiler, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
2016,8, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2017,35, Private, 11th grade, Married-civilian spouse present, Precision production craft & repair, White, Male,100, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
2018,20, Not in universe, 11th grade, Married-civilian spouse present, Not in universe, White, Female,0, Joint both under 65, Not in universe, Other relative of householder,6, United-States, Native- Born in the United States,0,14, - 50000.
2019,40, Private, Some college but no degree, Divorced, Precision production craft & repair, White, Male,0, Nonfiler, West, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
2020,29, Private, Bachelors degree(BA AB BS), Married-civilian spouse present, Sales, White, Female,138, Joint both under 65, Midwest, Spouse of householder,6, United-States, Native- Born in the United States,0,52, - 50000.
2021,19, Private, Some college but no degree, Never married, Adm support including clerical, White, Female,0, Single, Not in universe, Child 18 or older,4, United-States, Native- Born in the United States,0,12, - 50000.
2022,14, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2023,37, Private, High school graduate, Separated, Adm support including clerical, Black, Female,0, Nonfiler, Midwest, Householder,0, Jamaica, Foreign born- U S citizen by naturalization,0,0, - 50000.
2024,35, Private, High school graduate, Married-civilian spouse present, Machine operators assmblrs & inspctrs, White, Male,0, Joint both under 65, Not in universe, Householder,4, United-States, Native- Born in the United States,2,52, - 50000.
2025,71, Not in universe, 7th and 8th grade, Married-civilian spouse present, Not in universe, Amer Indian Aleut or Eskimo, Female,0, Nonfiler, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
2026,16, Not in universe, 10th grade, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Other relative of householder,2, United-States, Native- Born in the United States,0,8, - 50000.
2027,77, Not in universe, High school graduate, Married-civilian spouse present, Not in universe, White, Male,0, Joint both 65+, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
2028,90, Not in universe, High school graduate, Widowed, Not in universe, White, Female,0, Nonfiler, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
2029,50, Private, High school graduate, Married-civilian spouse present, Handlers equip cleaners etc , White, Male,0, Joint both under 65, Not in universe, Householder,3, United-States, Native- Born in the United States,0,52, - 50000.
2030,76, Not in universe, High school graduate, Married-civilian spouse present, Not in universe, White, Male,0, Joint both 65+, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
2031,18, Not in universe, High school graduate, Never married, Not in universe, White, Male,0, Single, Not in universe, Child 18 or older,2, United-States, Native- Born in the United States,0,34, - 50000.
2032,13, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2033,7, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2034,18, Private, Some college but no degree, Never married, Sales, White, Female,0, Single, Not in universe, Child 18 or older,3, United-States, Native- Born in the United States,2,52, - 50000.
2035,32, Private, High school graduate, Married-civilian spouse present, Adm support including clerical, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,6, United-States, Native- Born in the United States,2,52, - 50000.
2036,15, Never worked, 9th grade, Never married, Not in universe, Black, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2037,33, Private, Associates degree-academic program, Divorced, Executive admin and managerial, White, Female,0, Single, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
2038,32, Private, Associates degree-occup /vocational, Married-civilian spouse present, Machine operators assmblrs & inspctrs, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,1, United-States, Native- Born in the United States,0,52, - 50000.
2039,9, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2040,39, Private, High school graduate, Never married, Machine operators assmblrs & inspctrs, White, Male,0, Single, Not in universe, Householder,5, United-States, Native- Born in the United States,0,52, - 50000.
2041,79, Not in universe, 7th and 8th grade, Widowed, Not in universe, White, Female,675, Single, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
2042,22, Private, High school graduate, Never married, Farming forestry and fishing, White, Male,0, Single, Midwest, Householder,1, United-States, Native- Born in the United States,2,49, - 50000.
2043,16, Not in universe, 11th grade, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2044,69, Not in universe, 1st 2nd 3rd or 4th grade, Widowed, Not in universe, White, Female,0, Nonfiler, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
2045,42, Private, High school graduate, Married-civilian spouse present, Executive admin and managerial, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,1, United-States, Native- Born in the United States,0,52, - 50000.
2046,13, Not in universe, Children, Never married, Not in universe, Black, Male,0, Nonfiler, South, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2047,14, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Midwest, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2048,5, Not in universe, Children, Never married, Not in universe, Black, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2049,63, Self-employed-not incorporated, 7th and 8th grade, Married-civilian spouse present, Farming forestry and fishing, White, Male,0, Joint both under 65, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
2050,43, Private, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Executive admin and managerial, White, Male,100, Joint both under 65, Not in universe, Householder,4, United-States, Native- Born in the United States,0,37, - 50000.
2051,55, State government, High school graduate, Divorced, Other service, White, Female,0, Head of household, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
2052,28, Not in universe, 11th grade, Married-civilian spouse present, Not in universe, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
2053,46, Private, Some college but no degree, Married-civilian spouse present, Sales, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,1, United-States, Native- Born in the United States,0,52, - 50000.
2054,78, Not in universe, Some college but no degree, Widowed, Not in universe, White, Female,1098, Single, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
2055,2, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2056,6, Not in universe, Children, Never married, Not in universe, Black, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2057,50, Private, 7th and 8th grade, Married-civilian spouse present, Handlers equip cleaners etc , Black, Male,0, Joint both under 65, Not in universe, Spouse of householder,3, United-States, Native- Born in the United States,0,52, - 50000.
2058,10, Not in universe, Children, Never married, Not in universe, Other, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2059,5, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2060,44, Private, Some college but no degree, Widowed, Machine operators assmblrs & inspctrs, White, Male,0, Head of household, Not in universe, Householder,3, United-States, Native- Born in the United States,0,52, - 50000.
2061,15, State government, 7th and 8th grade, Never married, Handlers equip cleaners etc , White, Female,0, Single, Not in universe, Child under 18 never married,1, United-States, Native- Born in the United States,0,6, - 50000.
2062,20, Not in universe, 1st 2nd 3rd or 4th grade, Married-civilian spouse present, Not in universe, White, Male,0, Nonfiler, Not in universe, Householder,0, Mexico, Foreign born- Not a citizen of U S ,0,0, - 50000.
2063,49, Self-employed-incorporated, Bachelors degree(BA AB BS), Married-civilian spouse present, Sales, White, Male,0, Joint both under 65, Not in universe, Spouse of householder,1, United-States, Native- Born in the United States,0,52, - 50000.
2064,13, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, Puerto-Rico, Native- Born in Puerto Rico or U S Outlying,0,0, - 50000.
2065,57, Federal government, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Executive admin and managerial, Other, Male,0, Joint both under 65, Not in universe, Spouse of householder,6, United-States, Native- Born in the United States,0,52, 50000+.
2066,16, Not in universe, 10th grade, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2067,26, Private, Doctorate degree(PhD EdD), Married-civilian spouse present, Professional specialty, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,6, United-States, Native- Born in the United States,2,44, - 50000.
2068,59, Local government, High school graduate, Married-civilian spouse present, Other service, Black, Male,0, Joint both under 65, Not in universe, Spouse of householder,6, United-States, Native- Born in the United States,0,52, - 50000.
2069,33, Not in universe, Prof school degree (MD DDS DVM LLB JD), Married-civilian spouse present, Not in universe, White, Male,47, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, 50000+.
2070,50, Local government, Prof school degree (MD DDS DVM LLB JD), Married-civilian spouse present, Professional specialty, White, Female,0, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
2071,56, Private, 7th and 8th grade, Married-civilian spouse present, Precision production craft & repair, White, Male,0, Joint both under 65, Not in universe, Householder,5, United-States, Native- Born in the United States,0,52, - 50000.
2072,45, Not in universe, 9th grade, Married-civilian spouse present, Not in universe, White, Male,0, Nonfiler, Not in universe, Householder,0, Puerto-Rico, Native- Born in Puerto Rico or U S Outlying,0,0, - 50000.
2073,3, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2074,2, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2075,19, Private, High school graduate, Never married, Adm support including clerical, White, Female,0, Single, Not in universe, Other relative of householder,2, United-States, Native- Born in the United States,2,52, - 50000.
2076,21, Private, Associates degree-occup /vocational, Never married, Other service, White, Female,0, Single, Not in universe, Child 18 or older,2, United-States, Native- Born in the United States,0,52, - 50000.
2077,23, Private, 7th and 8th grade, Never married, Precision production craft & repair, White, Male,0, Single, Not in universe, Nonrelative of householder,2, El-Salvador, Foreign born- Not a citizen of U S ,0,52, - 50000.
2078,31, Private, Some college but no degree, Married-civilian spouse present, Executive admin and managerial, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,3, United-States, Native- Born in the United States,0,52, - 50000.
2079,42, Private, Associates degree-occup /vocational, Married-civilian spouse present, Professional specialty, Asian or Pacific Islander, Male,0, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, 50000+.
2080,17, Not in universe, 11th grade, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2081,34, Not in universe, High school graduate, Married-civilian spouse present, Not in universe, Black, Male,0, Joint both under 65, South, Householder,6, United-States, Native- Born in the United States,0,8, - 50000.
2082,84, Not in universe, 7th and 8th grade, Married-civilian spouse present, Not in universe, White, Female,0, Nonfiler, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
2083,21, Self-employed-incorporated, Some college but no degree, Never married, Adm support including clerical, White, Male,0, Single, Not in universe, Child 18 or older,6, United-States, Native- Born in the United States,2,44, - 50000.
2084,46, State government, High school graduate, Divorced, Adm support including clerical, White, Female,0, Single, Not in universe, Householder,1, United-States, Native- Born in the United States,0,52, - 50000.
2085,39, Self-employed-not incorporated, High school graduate, Married-civilian spouse present, Farming forestry and fishing, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
2086,14, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2087,18, Private, High school graduate, Never married, Adm support including clerical, White, Female,0, Single, Not in universe, Nonrelative of householder,4, United-States, Native- Born in the United States,0,52, - 50000.
2088,33, Private, 11th grade, Married-civilian spouse present, Other service, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,1, United-States, Native- Born in the United States,2,40, - 50000.
2089,44, Federal government, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Executive admin and managerial, Black, Male,0, Joint both under 65, Not in universe, Householder,6, ?, Foreign born- U S citizen by naturalization,0,52, 50000+.
2090,18, Private, 11th grade, Never married, Executive admin and managerial, White, Male,0, Single, Not in universe, Child 18 or older,3, United-States, Native- Born in the United States,0,52, - 50000.
2091,37, Private, High school graduate, Divorced, Adm support including clerical, Black, Female,0, Head of household, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
2092,13, Not in universe, Children, Never married, Not in universe, Asian or Pacific Islander, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
2093,33, Private, High school graduate, Married-civilian spouse present, Machine operators assmblrs & inspctrs, White, Male,0, Joint both under 65, Not in universe, Householder,2, United-States, Native- Born in the United States,0,52, - 50000.
2094,43, State government, Bachelors degree(BA AB BS), Divorced, Professional specialty, White, Female,57, Head of household, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
2095,15, Private, High school graduate, Married-civilian spouse present, Executive admin and managerial, White, Female,0, Joint one under 65 & one 65+, Not in universe, Householder,2, United-States, Native- Born in the United States,0,50, - 50000.
2096,39, Private, Associates degree-occup /vocational, Married-civilian spouse present, Professional specialty, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,4, United-States, Native- Born in the United States,0,52, - 50000.
